time,x,y,z
2023/06/27 10:51:26.21124563,-0.0,0.0,0.0
2023/06/27 10:51:26.121540491,-0.0,0.0,0.0
2023/06/27 10:51:26.221675661,-0.0,0.0,0.0
2023/06/27 10:51:26.321607870,-0.0,0.0,0.0
2023/06/27 10:51:26.421252224,-0.0,0.0,0.0
2023/06/27 10:51:26.521635278,-0.0,0.0,0.0
2023/06/27 10:51:26.621354029,-0.0,0.0,0.0
2023/06/27 10:51:26.721247148,-0.0,0.0,0.0
2023/06/27 10:51:26.821667656,-0.0,0.0,0.0
2023/06/27 10:51:26.921715639,-0.0,0.0,0.0
2023/06/27 10:51:27.21529147,-0.0,0.0,0.0
2023/06/27 10:51:27.121323411,-0.0,0.0,0.0
2023/06/27 10:51:27.221403496,-0.0,0.0,0.0
2023/06/27 10:51:27.321715513,-0.0,0.0,0.0
2023/06/27 10:51:27.421695366,-0.0,0.0,0.0
2023/06/27 10:51:27.521734920,-0.0,0.0,0.0
2023/06/27 10:51:27.621429429,-0.0,0.0,0.0
2023/06/27 10:51:27.721647456,-0.0,0.0,0.0
2023/06/27 10:51:27.821480914,-0.0,0.0,0.0
2023/06/27 10:51:27.921454784,-0.0,0.0,0.0
2023/06/27 10:51:28.21710694,-0.0,0.0,0.0
2023/06/27 10:51:28.121694063,-0.0,0.0,0.0
2023/06/27 10:51:28.221698066,-0.0,0.0,0.0
2023/06/27 10:51:28.321436561,-0.0,0.0,0.0
2023/06/27 10:51:28.421730719,-0.0,0.0,0.0
2023/06/27 10:51:28.521606769,-0.0,0.0,0.0
2023/06/27 10:51:28.621695984,-0.0,0.0,0.0
2023/06/27 10:51:28.721615393,-0.0,0.0,0.0
2023/06/27 10:51:28.821734181,-0.0,0.0,0.0
2023/06/27 10:51:28.921763018,-0.0,0.0,0.0
2023/06/27 10:51:29.21364359,-0.0,0.0,0.0
2023/06/27 10:51:29.121407236,-0.0,0.0,0.0
2023/06/27 10:51:29.221659880,-0.0,0.0,0.0
2023/06/27 10:51:29.321411608,-0.0,0.0,0.0
2023/06/27 10:51:29.421699312,-0.0,0.0,0.0
2023/06/27 10:51:29.521434528,-0.0,0.0,0.0
2023/06/27 10:51:29.621233045,-0.0,0.0,0.0
2023/06/27 10:51:29.721220809,-0.0,0.0,0.0
2023/06/27 10:51:29.821187721,-0.0,0.0,0.0
2023/06/27 10:51:29.921205315,-0.0,0.0,0.0
2023/06/27 10:51:30.21092055,-0.0,0.0,0.0
2023/06/27 10:51:30.121089340,-0.0,0.0,0.0
2023/06/27 10:51:30.221334144,-0.0,0.0,0.0
2023/06/27 10:51:30.321413493,-0.0,0.0,0.0
2023/06/27 10:51:30.421497937,-0.0,0.0,0.0
2023/06/27 10:51:30.521331075,-0.0,0.0,0.0
2023/06/27 10:51:30.621404379,-0.0,0.0,0.0
2023/06/27 10:51:30.721213525,-0.0,0.0,0.0
2023/06/27 10:51:30.821351457,-0.0,0.0,0.0
2023/06/27 10:51:30.921347751,-0.0,0.0,0.0
2023/06/27 10:51:31.21478294,-0.0,0.0,0.0
2023/06/27 10:51:31.121751329,-0.0,0.0,0.0
2023/06/27 10:51:31.221474381,-0.0,0.0,0.0
2023/06/27 10:51:31.321563124,-0.0,0.0,0.0
2023/06/27 10:51:31.421285688,-0.0,0.0,0.0
2023/06/27 10:51:31.521346216,-0.0,0.0,0.0
2023/06/27 10:51:31.621200199,-0.0,0.0,0.0
2023/06/27 10:51:31.721181450,-0.0,0.0,0.0
2023/06/27 10:51:31.821449874,-0.0,0.0,0.0
2023/06/27 10:51:31.921613866,-0.0,0.0,0.0
2023/06/27 10:51:32.21650619,-0.0,0.0,0.0
2023/06/27 10:51:32.121900235,-0.0,0.0,0.0
2023/06/27 10:51:32.221635314,-0.0,0.0,0.0
2023/06/27 10:51:32.321599941,-0.0,0.0,0.0
2023/06/27 10:51:32.421623142,-0.0,0.0,0.0
2023/06/27 10:51:32.521401927,-0.0,0.0,0.0
2023/06/27 10:51:32.621765057,-0.0,0.0,0.0
2023/06/27 10:51:32.721694118,-0.0,0.0,0.0
