time,data
2023/06/27 09:24:35.878145665,0.0
2023/06/27 09:24:35.977657492,0.0
2023/06/27 09:24:36.77624422,0.0
2023/06/27 09:24:36.178478099,0.0
2023/06/27 09:24:36.278723597,0.0
2023/06/27 09:24:36.377986307,0.0
2023/06/27 09:24:36.477633709,0.0
2023/06/27 09:24:36.577627831,0.0
2023/06/27 09:24:36.677496654,0.0
2023/06/27 09:24:36.777586762,0.0
2023/06/27 09:24:36.877544705,0.0
2023/06/27 09:24:36.977440952,0.0
2023/06/27 09:24:37.77419510,0.0
2023/06/27 09:24:37.177582561,0.0
2023/06/27 09:24:37.277653219,0.0
2023/06/27 09:24:37.377688632,0.0
2023/06/27 09:24:37.477573849,0.0
2023/06/27 09:24:37.577780833,0.0
2023/06/27 09:24:37.677521230,0.0
2023/06/27 09:24:37.777727975,0.0
2023/06/27 09:24:37.877697844,0.0
2023/06/27 09:24:37.977756722,0.0
2023/06/27 09:24:38.77630833,0.0
2023/06/27 09:24:38.177596231,0.0
2023/06/27 09:24:38.277560173,0.0
2023/06/27 09:24:38.377701837,0.0
2023/06/27 09:24:38.477652757,0.0
2023/06/27 09:24:38.577593873,0.0
2023/06/27 09:24:38.677629650,0.0
2023/06/27 09:24:38.777675118,0.0
2023/06/27 09:24:38.877571673,0.0
2023/06/27 09:24:38.977534176,0.0
2023/06/27 09:24:39.77636041,0.0
2023/06/27 09:24:39.177429210,0.0
2023/06/27 09:24:39.277661207,0.0
2023/06/27 09:24:39.377652554,0.0
2023/06/27 09:24:39.477652431,0.0
2023/06/27 09:24:39.577656678,0.0
2023/06/27 09:24:39.677756130,0.0
2023/06/27 09:24:39.777647645,0.0
2023/06/27 09:24:39.877669337,0.0
2023/06/27 09:24:39.977670161,0.0
2023/06/27 09:24:40.77674471,0.0
2023/06/27 09:24:40.177670929,0.0
2023/06/27 09:24:40.277912060,0.0
2023/06/27 09:24:40.377847799,0.0
2023/06/27 09:24:40.477608888,0.0
2023/06/27 09:24:40.577778012,0.0
2023/06/27 09:24:40.677665990,0.0
2023/06/27 09:24:40.777690950,0.0
2023/06/27 09:24:40.877567281,0.0
2023/06/27 09:24:40.977569662,0.0
2023/06/27 09:24:41.77591323,0.0
2023/06/27 09:24:41.177736601,0.0
2023/06/27 09:24:41.277655259,0.0
2023/06/27 09:24:41.377635836,0.0
2023/06/27 09:24:41.477651341,0.0
2023/06/27 09:24:41.577627131,0.0
2023/06/27 09:24:41.677604154,0.0
2023/06/27 09:24:41.777491271,0.0
2023/06/27 09:24:41.877510619,0.0
2023/06/27 09:24:41.977498155,0.0
2023/06/27 09:24:42.77649353,45.0
2023/06/27 09:24:42.177563417,-90.0
2023/06/27 09:24:42.277478130,-90.0
2023/06/27 09:24:42.377548759,-90.0
2023/06/27 09:24:42.477484365,-90.0
2023/06/27 09:24:42.577596557,-90.0
2023/06/27 09:24:42.678607044,-90.0
2023/06/27 09:24:42.777718564,-90.0
2023/06/27 09:24:42.877691180,-90.0
2023/06/27 09:24:42.977500871,-90.0
2023/06/27 09:24:43.77712627,-90.0
2023/06/27 09:24:43.177618073,-90.0
2023/06/27 09:24:43.278046057,-90.0
2023/06/27 09:24:43.377659706,-90.0
2023/06/27 09:24:43.477736630,-90.0
2023/06/27 09:24:43.577525418,-90.0
2023/06/27 09:24:43.677633390,-90.0
2023/06/27 09:24:43.777590067,-90.0
2023/06/27 09:24:43.876859943,-90.0
2023/06/27 09:24:43.977432571,-90.0
2023/06/27 09:24:44.77300588,-90.0
2023/06/27 09:24:44.177536747,-90.0
2023/06/27 09:24:44.277491163,-90.0
2023/06/27 09:24:44.377487030,-90.0
2023/06/27 09:24:44.477403939,-90.0
2023/06/27 09:24:44.577462887,-90.0
2023/06/27 09:24:44.677422302,-90.0
2023/06/27 09:24:44.777717274,-90.0
2023/06/27 09:24:44.877148110,-90.0
2023/06/27 09:24:44.977196001,-90.0
2023/06/27 09:24:45.77469623,-90.0
2023/06/27 09:24:45.177313444,-90.0
2023/06/27 09:24:45.277265947,-90.0
2023/06/27 09:24:45.377342606,-90.0
2023/06/27 09:24:45.477386953,-90.0
2023/06/27 09:24:45.577388185,-90.0
2023/06/27 09:24:45.677201370,-90.0
2023/06/27 09:24:45.777079599,-90.0
2023/06/27 09:24:45.877583545,-90.0
2023/06/27 09:24:45.977470300,-90.0
2023/06/27 09:24:46.77215394,-90.0
2023/06/27 09:24:46.177230109,-90.0
2023/06/27 09:24:46.277446755,-90.0
2023/06/27 09:24:46.377288523,-90.0
2023/06/27 09:24:46.477516789,-90.0
2023/06/27 09:24:46.577349433,-90.0
2023/06/27 09:24:46.678309079,-90.0
2023/06/27 09:24:46.778104636,-90.0
2023/06/27 09:24:46.877417678,-90.0
2023/06/27 09:24:46.977606376,-90.0
2023/06/27 09:24:47.77533659,-90.0
2023/06/27 09:24:47.177354070,-90.0
2023/06/27 09:24:47.277522862,-90.0
2023/06/27 09:24:47.377416970,-90.0
2023/06/27 09:24:47.477651187,-90.0
2023/06/27 09:24:47.577452372,-90.0
2023/06/27 09:24:47.677564067,-90.0
2023/06/27 09:24:47.777635590,-90.0
2023/06/27 09:24:47.877457492,-90.0
2023/06/27 09:24:47.977707574,-90.0
2023/06/27 09:24:48.77272601,-90.0
2023/06/27 09:24:48.177414054,-90.0
2023/06/27 09:24:48.277517271,-90.0
2023/06/27 09:24:48.377477195,-90.0
2023/06/27 09:24:48.477310949,-90.0
2023/06/27 09:24:48.577893962,-90.0
2023/06/27 09:24:48.677360417,-90.0
2023/06/27 09:24:48.777535857,-90.0
2023/06/27 09:24:48.877367216,-90.0
2023/06/27 09:24:48.977498339,-90.0
2023/06/27 09:24:49.77696876,-90.0
2023/06/27 09:24:49.177790642,-90.0
2023/06/27 09:24:49.277622061,-90.0
2023/06/27 09:24:49.378339988,-90.0
2023/06/27 09:24:49.477990857,-90.0
2023/06/27 09:24:49.577714027,-90.0
2023/06/27 09:24:49.678416993,-90.0
2023/06/27 09:24:49.777763991,-90.0
2023/06/27 09:24:49.877725642,-90.0
2023/06/27 09:24:49.977626860,-90.0
2023/06/27 09:24:50.77498350,-90.0
2023/06/27 09:24:50.177837805,-90.0
2023/06/27 09:24:50.277598621,-90.0
2023/06/27 09:24:50.377785639,-90.0
2023/06/27 09:24:50.477436120,-90.0
2023/06/27 09:24:50.578708111,-90.0
2023/06/27 09:24:50.678049985,-90.0
2023/06/27 09:24:50.777690877,-90.0
2023/06/27 09:24:50.877447891,-90.0
2023/06/27 09:24:50.977326782,-90.0
2023/06/27 09:24:51.77588338,-90.0
2023/06/27 09:24:51.177187811,-90.0
2023/06/27 09:24:51.277203911,-90.0
2023/06/27 09:24:51.378106480,-90.0
2023/06/27 09:24:51.477406832,-90.0
2023/06/27 09:24:51.577365047,-90.0
2023/06/27 09:24:51.677266996,-90.0
2023/06/27 09:24:51.777432228,-90.0
2023/06/27 09:24:51.877666020,-90.0
2023/06/27 09:24:51.977431013,-90.0
2023/06/27 09:24:52.77533010,-90.0
2023/06/27 09:24:52.177158795,-90.0
2023/06/27 09:24:52.277367388,-90.0
2023/06/27 09:24:52.377269512,-90.0
2023/06/27 09:24:52.477680417,-90.0
2023/06/27 09:24:52.578338458,-90.0
2023/06/27 09:24:52.677679106,-90.0
2023/06/27 09:24:52.777631199,-90.0
2023/06/27 09:24:52.877660586,-90.0
2023/06/27 09:24:52.977709061,-90.0
2023/06/27 09:24:53.77647898,-90.0
2023/06/27 09:24:53.177892793,-90.0
2023/06/27 09:24:53.278595149,-90.0
2023/06/27 09:24:53.378517991,-90.0
2023/06/27 09:24:53.478567719,-90.0
2023/06/27 09:24:53.578588250,-90.0
2023/06/27 09:24:53.677762873,-90.0
2023/06/27 09:24:53.777725047,-90.0
2023/06/27 09:24:53.877732463,-90.0
2023/06/27 09:24:53.977745769,-90.0
2023/06/27 09:24:54.77858999,-90.0
2023/06/27 09:24:54.177868365,-90.0
2023/06/27 09:24:54.277767094,-90.0
2023/06/27 09:24:54.378730472,-90.0
2023/06/27 09:24:54.477623398,-90.0
2023/06/27 09:24:54.577527899,-90.0
2023/06/27 09:24:54.677073802,-90.0
2023/06/27 09:24:54.777659838,-90.0
2023/06/27 09:24:54.878188018,-90.0
2023/06/27 09:24:54.977835414,-90.0
2023/06/27 09:24:55.77504815,-90.0
2023/06/27 09:24:55.177798082,-90.0
2023/06/27 09:24:55.277386980,-90.0
2023/06/27 09:24:55.377549307,-90.0
2023/06/27 09:24:55.477583917,-90.0
2023/06/27 09:24:55.577533360,-90.0
2023/06/27 09:24:55.677506359,-90.0
2023/06/27 09:24:55.777639108,-90.0
2023/06/27 09:24:55.877373727,-90.0
2023/06/27 09:24:55.977166437,-90.0
2023/06/27 09:24:56.77198369,-90.0
2023/06/27 09:24:56.177208046,-90.0
2023/06/27 09:24:56.277280801,-90.0
2023/06/27 09:24:56.377265206,-90.0
2023/06/27 09:24:56.477121707,-90.0
2023/06/27 09:24:56.578038549,-90.0
2023/06/27 09:24:56.677828511,-90.0
2023/06/27 09:24:56.777127927,-90.0
2023/06/27 09:24:56.877547306,-90.0
2023/06/27 09:24:56.977228224,-90.0
2023/06/27 09:24:57.77290792,-90.0
2023/06/27 09:24:57.177252986,-90.0
2023/06/27 09:24:57.277310525,-90.0
2023/06/27 09:24:57.377245688,-90.0
2023/06/27 09:24:57.477412459,-90.0
2023/06/27 09:24:57.577576215,-90.0
2023/06/27 09:24:57.677630916,-90.0
2023/06/27 09:24:57.777591809,-90.0
2023/06/27 09:24:57.877625598,-90.0
2023/06/27 09:24:57.977542995,-90.0
2023/06/27 09:24:58.77398738,-90.0
2023/06/27 09:24:58.177395197,-90.0
2023/06/27 09:24:58.277533283,-90.0
2023/06/27 09:24:58.377838113,-90.0
2023/06/27 09:24:58.477541050,-90.0
2023/06/27 09:24:58.577418209,-90.0
2023/06/27 09:24:58.677350911,-90.0
2023/06/27 09:24:58.777920455,-90.0
2023/06/27 09:24:58.878211099,-90.0
2023/06/27 09:24:58.977095981,-90.0
2023/06/27 09:24:59.77074559,-90.0
2023/06/27 09:24:59.177153486,-90.0
2023/06/27 09:24:59.277495991,-90.0
2023/06/27 09:24:59.377302877,-90.0
2023/06/27 09:24:59.477211374,-90.0
2023/06/27 09:24:59.577623377,-90.0
2023/06/27 09:24:59.677427417,-90.0
2023/06/27 09:24:59.777445584,-90.0
