"id","topic_id","timestamp","data"
"129","3","-602059495","unknown_value_please_contact_support"
"130","4","-601977688","unknown_value_please_contact_support"
"131","1","-601059369","unknown_value_please_contact_support"
"132","1","-599723411","unknown_value_please_contact_support"
"133","7","-578763126","unknown_value_please_contact_support"
"134","9","-545583137","unknown_value_please_contact_support"
"135","8","-545482734","unknown_value_please_contact_support"
"136","3","-502412458","unknown_value_please_contact_support"
"137","4","-502319338","unknown_value_please_contact_support"
"138","1","-500335491","unknown_value_please_contact_support"
"139","1","-499101045","unknown_value_please_contact_support"
"140","7","-478895487","unknown_value_please_contact_support"
"141","8","-445580139","unknown_value_please_contact_support"
"142","9","-445512419","unknown_value_please_contact_support"
"143","3","-402331876","unknown_value_please_contact_support"
"144","4","-402206321","unknown_value_please_contact_support"
"145","1","-400454660","unknown_value_please_contact_support"
"146","1","-398887907","unknown_value_please_contact_support"
"147","7","-378906753","unknown_value_please_contact_support"
"148","8","-345539999","unknown_value_please_contact_support"
"149","9","-345462942","unknown_value_please_contact_support"
"150","1","-341858620","unknown_value_please_contact_support"
"151","3","-301979203","unknown_value_please_contact_support"
"152","4","-301904078","unknown_value_please_contact_support"
"153","1","-300507080","unknown_value_please_contact_support"
"154","1","-298991038","unknown_value_please_contact_support"
"155","7","-279009811","unknown_value_please_contact_support"
"156","8","-245565432","unknown_value_please_contact_support"
"157","9","-245507054","unknown_value_please_contact_support"
"158","4","-202685975","unknown_value_please_contact_support"
"159","3","-202584010","unknown_value_please_contact_support"
"160","1","-200899818","unknown_value_please_contact_support"
"161","1","-199590726","unknown_value_please_contact_support"
"162","7","-179141043","unknown_value_please_contact_support"
"163","8","-145380380","unknown_value_please_contact_support"
"164","9","-145311657","unknown_value_please_contact_support"
"165","3","-102414052","unknown_value_please_contact_support"
"166","4","-102345194","unknown_value_please_contact_support"
"167","1","-101102388","unknown_value_please_contact_support"
"168","1","-99403631","unknown_value_please_contact_support"
"169","7","-78576268","unknown_value_please_contact_support"
"170","8","-45249199","unknown_value_please_contact_support"
"171","9","-45178529","unknown_value_please_contact_support"
"172","3","-2165349","unknown_value_please_contact_support"
"173","4","-2085469","unknown_value_please_contact_support"
"174","1","-835319","unknown_value_please_contact_support"
"175","1","597192","unknown_value_please_contact_support"
"176","7","21245111","unknown_value_please_contact_support"
"177","8","54569332","unknown_value_please_contact_support"
"178","9","54640179","unknown_value_please_contact_support"
"179","3","97363997","unknown_value_please_contact_support"
"180","4","97434491","unknown_value_please_contact_support"
"181","1","99506442","unknown_value_please_contact_support"
"182","1","100908415","unknown_value_please_contact_support"
"183","7","121283088","unknown_value_please_contact_support"
"184","8","154810487","unknown_value_please_contact_support"
"185","9","154882527","unknown_value_please_contact_support"
"186","3","197684928","unknown_value_please_contact_support"
"187","4","197797170","unknown_value_please_contact_support"
"188","1","198818347","unknown_value_please_contact_support"
"189","1","200665128","unknown_value_please_contact_support"
"190","7","220987845","unknown_value_please_contact_support"
"191","9","254452131","unknown_value_please_contact_support"
"192","8","254539428","unknown_value_please_contact_support"
"193","4","297621820","unknown_value_please_contact_support"
"194","3","297740369","unknown_value_please_contact_support"
"195","1","299320248","unknown_value_please_contact_support"
"196","1","300498045","unknown_value_please_contact_support"
"197","7","320398220","unknown_value_please_contact_support"
"198","1","322621624","unknown_value_please_contact_support"
"199","8","354516359","unknown_value_please_contact_support"
"200","9","354541512","unknown_value_please_contact_support"
"201","3","397402234","unknown_value_please_contact_support"
"202","4","397463493","unknown_value_please_contact_support"
"203","1","398971914","unknown_value_please_contact_support"
"204","1","400362949","unknown_value_please_contact_support"
"205","7","421843961","unknown_value_please_contact_support"
"206","8","454144628","unknown_value_please_contact_support"
"207","9","454174458","unknown_value_please_contact_support"
"208","3","497154525","unknown_value_please_contact_support"
"209","4","497221644","unknown_value_please_contact_support"
"210","1","498863958","unknown_value_please_contact_support"
