time,stamp,level,name,msg,file,function,line
2023/06/29 11:15:59.126660857,"{'secs': 1688002517, 'nsecs': 936621304}",20,kaboat_gps_rtk,"Latitude is: ""37.4558356667""",/home/jiyoung/snuboat_ws/src/kaboat_gps_rtk/kaboat_gps_rtk/kaboat_gps_rtk.py,timer_callback,42
2023/06/29 11:15:59.129614480,"{'secs': 1688002517, 'nsecs': 939032128}",20,kaboat_gps_rtk,"Longitude is: ""126.951691""",/home/jiyoung/snuboat_ws/src/kaboat_gps_rtk/kaboat_gps_rtk/kaboat_gps_rtk.py,timer_callback,43
2023/06/29 11:15:59.184508354,"{'secs': 1688004959, 'nsecs': 183997043}",20,differentiater,All topics received,/home/jiyoung/snuboat_ws/src/snuboat_nav/snuboat_nav/differentiater.py,check_topics_status,44
2023/06/29 11:15:59.228532477,"{'secs': 1688002518, 'nsecs': 37566782}",20,kaboat_gps_rtk,"Latitude is: ""37.4558356667""",/home/jiyoung/snuboat_ws/src/kaboat_gps_rtk/kaboat_gps_rtk/kaboat_gps_rtk.py,timer_callback,42
2023/06/29 11:15:59.229909842,"{'secs': 1688002518, 'nsecs': 39519986}",20,kaboat_gps_rtk,"Longitude is: ""126.951691""",/home/jiyoung/snuboat_ws/src/kaboat_gps_rtk/kaboat_gps_rtk/kaboat_gps_rtk.py,timer_callback,43
2023/06/29 11:15:59.327532893,"{'secs': 1688002518, 'nsecs': 136674839}",20,kaboat_gps_rtk,"Latitude is: ""37.4558356667""",/home/jiyoung/snuboat_ws/src/kaboat_gps_rtk/kaboat_gps_rtk/kaboat_gps_rtk.py,timer_callback,42
2023/06/29 11:15:59.328653036,"{'secs': 1688002518, 'nsecs': 138344991}",20,kaboat_gps_rtk,"Longitude is: ""126.951691""",/home/jiyoung/snuboat_ws/src/kaboat_gps_rtk/kaboat_gps_rtk/kaboat_gps_rtk.py,timer_callback,43
2023/06/29 11:15:59.426602948,"{'secs': 1688002518, 'nsecs': 236590239}",20,kaboat_gps_rtk,"Latitude is: ""37.4558356667""",/home/jiyoung/snuboat_ws/src/kaboat_gps_rtk/kaboat_gps_rtk/kaboat_gps_rtk.py,timer_callback,42
2023/06/29 11:15:59.428282752,"{'secs': 1688002518, 'nsecs': 238246577}",20,kaboat_gps_rtk,"Longitude is: ""126.951691""",/home/jiyoung/snuboat_ws/src/kaboat_gps_rtk/kaboat_gps_rtk/kaboat_gps_rtk.py,timer_callback,43
2023/06/29 11:15:59.527295632,"{'secs': 1688002518, 'nsecs': 336463749}",20,kaboat_gps_rtk,"Latitude is: ""37.4558356667""",/home/jiyoung/snuboat_ws/src/kaboat_gps_rtk/kaboat_gps_rtk/kaboat_gps_rtk.py,timer_callback,42
2023/06/29 11:15:59.528590155,"{'secs': 1688002518, 'nsecs': 338170047}",20,kaboat_gps_rtk,"Longitude is: ""126.951691""",/home/jiyoung/snuboat_ws/src/kaboat_gps_rtk/kaboat_gps_rtk/kaboat_gps_rtk.py,timer_callback,43
2023/06/29 11:15:59.627172525,"{'secs': 1688002518, 'nsecs': 436571775}",20,kaboat_gps_rtk,"Latitude is: ""37.4558358333""",/home/jiyoung/snuboat_ws/src/kaboat_gps_rtk/kaboat_gps_rtk/kaboat_gps_rtk.py,timer_callback,42
2023/06/29 11:15:59.628660987,"{'secs': 1688002518, 'nsecs': 438210947}",20,kaboat_gps_rtk,"Longitude is: ""126.9516913333""",/home/jiyoung/snuboat_ws/src/kaboat_gps_rtk/kaboat_gps_rtk/kaboat_gps_rtk.py,timer_callback,43
2023/06/29 11:15:59.727100461,"{'secs': 1688002518, 'nsecs': 536544516}",20,kaboat_gps_rtk,"Latitude is: ""37.4558358333""",/home/jiyoung/snuboat_ws/src/kaboat_gps_rtk/kaboat_gps_rtk/kaboat_gps_rtk.py,timer_callback,42
2023/06/29 11:15:59.730119988,"{'secs': 1688002518, 'nsecs': 538175375}",20,kaboat_gps_rtk,"Longitude is: ""126.9516913333""",/home/jiyoung/snuboat_ws/src/kaboat_gps_rtk/kaboat_gps_rtk/kaboat_gps_rtk.py,timer_callback,43
2023/06/29 11:15:59.827245635,"{'secs': 1688002518, 'nsecs': 636565303}",20,kaboat_gps_rtk,"Latitude is: ""37.4558358333""",/home/jiyoung/snuboat_ws/src/kaboat_gps_rtk/kaboat_gps_rtk/kaboat_gps_rtk.py,timer_callback,42
2023/06/29 11:15:59.828792949,"{'secs': 1688002518, 'nsecs': 638235872}",20,kaboat_gps_rtk,"Longitude is: ""126.9516913333""",/home/jiyoung/snuboat_ws/src/kaboat_gps_rtk/kaboat_gps_rtk/kaboat_gps_rtk.py,timer_callback,43
2023/06/29 11:15:59.851220532,"{'secs': 1688004437, 'nsecs': 498941744}",20,gnss_converter,All topics received,/home/jiyoung/snuboat_ws/src/snuboat_nav/snuboat_nav/gnss_converter.py,check_topics_status,53
2023/06/29 11:15:59.927366495,"{'secs': 1688002518, 'nsecs': 736679882}",20,kaboat_gps_rtk,"Latitude is: ""37.4558358333""",/home/jiyoung/snuboat_ws/src/kaboat_gps_rtk/kaboat_gps_rtk/kaboat_gps_rtk.py,timer_callback,42
2023/06/29 11:15:59.928811467,"{'secs': 1688002518, 'nsecs': 738360443}",20,kaboat_gps_rtk,"Longitude is: ""126.9516913333""",/home/jiyoung/snuboat_ws/src/kaboat_gps_rtk/kaboat_gps_rtk/kaboat_gps_rtk.py,timer_callback,43
