time,stamp,node,new_parameters,changed_parameters,deleted_parameters
2023/06/27 09:24:41.915877117,"{'secs': 1687825481, 'nsecs': 914394591}",/dummy_enu_publisher,"[{'name': 'use_sim_time', 'value': {'type': 1, 'bool_value': False, 'integer_value': 0, 'double_value': 0.0, 'string_value': '', 'byte_array_value': [], 'bool_array_value': [], 'integer_array_value': [], 'double_array_value': [], 'string_array_value': []}}]",[],[]
2023/06/27 09:24:55.319597768,"{'secs': 1687825495, 'nsecs': 318408233}",/_ros2cli_30308,"[{'name': 'use_sim_time', 'value': {'type': 1, 'bool_value': False, 'integer_value': 0, 'double_value': 0.0, 'string_value': '', 'byte_array_value': [], 'bool_array_value': [], 'integer_array_value': [], 'double_array_value': [], 'string_array_value': []}}]",[],[]
2023/06/27 09:25:59.348553443,"{'secs': 1687825559, 'nsecs': 347768141}",/_ros2cli_30500,"[{'name': 'use_sim_time', 'value': {'type': 1, 'bool_value': False, 'integer_value': 0, 'double_value': 0.0, 'string_value': '', 'byte_array_value': [], 'bool_array_value': [], 'integer_array_value': [], 'double_array_value': [], 'string_array_value': []}}]",[],[]
2023/06/27 09:26:15.379772951,"{'secs': 1687825575, 'nsecs': 378842646}",/_ros2cli_30525,"[{'name': 'use_sim_time', 'value': {'type': 1, 'bool_value': False, 'integer_value': 0, 'double_value': 0.0, 'string_value': '', 'byte_array_value': [], 'bool_array_value': [], 'integer_array_value': [], 'double_array_value': [], 'string_array_value': []}}]",[],[]
